"Designator","Footprint","X","Y","Rotation","Value"
"C56","PART","19.27","68.99","180","0.1uF"
"C57","_0402MP","10.84","70.84","180","10uF"
"C58","_0402MP","11.86","70.00","  0","10uF"
"C59","PART","13.71","59.03","180","0.1uF"
"C60","PART","10.41","61.67"," 45","10pF"
"C61","PART","11.50","62.69","225","10pF"
"C62","PART"," 9.87","67.31","180","22pF, C0G, 5%"
"C63","PART"," 9.39","63.27"," 90","22pF, C0G, 5%"
"C64","PART","10.15","63.27"," 90","DNP"
"C65","PART","13.40","70.92","270","9pF"
"C66","PART","18.21","69.98","270","9pF"
"C67","PART","13.61","58.27","  0","10nF"
"C70","PART","50.72"," 8.10","270","0.1uF"
"C71","PART","45.92","11.40","  0","0.1uF"
"C72","_0402MP","48.69"," 8.13","180","2.2uF"
"C73","_0402MP","45.69"," 8.91","180","2.2uF"
"C74","PART","45.84"," 7.39","180","0.47uF"
"C76","PART","50.01","19.05","180","0.1uF"
"C77","PART","49.07","17.45","  0","0.1uF"
"C78","PART","45.89","10.10","  0","0.1uF"
"C79","PART","49.75","18.19","180","0.1uF"
"C80","_0402MP","41.32","20.04","180","10uF"
"C81","_0402MP","42.34","19.20","  0","10uF"
"C82","PART","44.19"," 8.23","180","0.1uF"
"C83","PART","40.89","10.87"," 45","10pF"
"C84","PART","41.98","11.89","225","10pF"
"C85","PART","40.35","16.51","180","22pF, C0G, 5%"
"C86","PART","39.87","12.47"," 90","22pF, C0G, 5%"
"C87","PART","40.63","12.47"," 90","DNP"
"C88","PART","43.88","20.12","270","9pF"
"C89","PART","48.69","19.18","270","9pF"
"C90","PART","44.09"," 7.47","  0","10nF"
"C93","PART","50.72","33.50","270","0.1uF"
"C94","PART","45.92","36.80","  0","0.1uF"
"C95","_0402MP","48.69","33.53","180","2.2uF"
"C96","_0402MP","45.69","34.31","180","2.2uF"
"C97","PART","45.84","32.79","180","0.47uF"
"C99","PART","50.01","44.45","180","0.1uF"
"C100","PART","49.07","42.85","  0","0.1uF"
"C101","PART","45.89","35.50","  0","0.1uF"
"C102","PART","49.75","43.59","180","0.1uF"
"C103","_0402MP","41.32","45.44","180","10uF"
"C104","_0402MP","42.34","44.60","  0","10uF"
"C105","PART","44.19","33.63","180","0.1uF"
"C106","PART","40.89","36.27"," 45","10pF"
